file,display_items,description,row_unit,value_units,precision,rows,columns,bytes,sha256
main/figures/Figure4d.csv,Figure 4d,Adjusted probability curves for the next neutral objective,Region and maintenance-difference grid point,Probability on 0–1 scale; common SD,Original numerical precision,243,12,62203,74ce5a5660dacad3374555e9b37ad23239058f2da2e89b98eaa57a8a89a44948
main/figures/Figure4d_support.csv,Figure 4d,Observed support for probability curves,Region and 0.05-SD bin,Matches; fraction of regional matches; common SD,Original numerical precision,240,7,19153,659d5bab105c548cfade5f17eb83b7cf8d4c11c86f6f2ccaafc3d3d6abee1998
main/figures/Figure4d_probability_changes.csv,Figure 4d,Absolute probability changes from −1 to +1 common SD,Region,Probability on 0–1 scale; multiply differences and intervals by 100 for percentage points,Original numerical precision,3,12,819,496007b89d1efa4cdf0b986fa32c76a6ef9c94223a74ab3d5a68240bdc3c026c
supplementary/figures/FigureS1a.csv,Supplementary Figure 1a,Region-specific indicator correlation matrix,Indicator row by indicator column,Pearson r,Original numerical precision,18,19,6518,0144db3a4220c17cb4e7dbf2ffdc1feef46475cc2bc1f4b894a3ffce3e3341de
supplementary/figures/FigureS1b.csv,Supplementary Figure 1b,Region-specific indicator correlation matrix,Indicator row by indicator column,Pearson r,Original numerical precision,18,19,6526,64b1c1ac346fce5e6a3e0aeca2fabdca7d6c852839f2cdc29eea6d5ec02de466
supplementary/figures/FigureS1c.csv,Supplementary Figure 1c,Region-specific indicator correlation matrix,Indicator row by indicator column,Pearson r,Original numerical precision,18,19,6530,1a6839bc70b3533c00d19aedd9f05daf240a3d119e31738713ecb0a485888d1a
supplementary/figures/FigureS2a.csv,Supplementary Figure 2a,Univariate score-frequency and cumulative-distribution table,Unique score within one region and one score distribution,Score units; players; cumulative fraction,Exact score values and integer frequencies,126000,7,8115009,2ea4e70e619479c231854ac21bea72045bdc011e13d7e1e363c15e3d24b1f58e
supplementary/figures/FigureS2b.csv,Supplementary Figure 2b,Univariate score-frequency and cumulative-distribution table,Unique score within one region and one score distribution,Score units; players; cumulative fraction,Exact score values and integer frequencies,126000,7,8618857,a625dc7516c1e5aab0f74f12276847d8687c92494a8f773672c7ff27e530b9d3
supplementary/figures/FigureS2c.csv,Supplementary Figure 2c,Univariate score-frequency and cumulative-distribution table,Unique score within one region and one score distribution,Score units; players; cumulative fraction,Exact score values and integer frequencies,126000,7,8493647,edce24e045865b10c8106300cd8de7ea4f6007fc2ad5d7848c88f453677454f6
supplementary/figures/FigureS2d.csv,Supplementary Figure 2d,Regional quantile differences,"Process, regional contrast and percentile",Score units; percentile from 1 to 99,Original numerical precision,198,7,22693,2ff0d4843a24609bc6078709081623226b9f2d918e8e2f3535fbab2cb0818f67
supplementary/figures/FigureS2e.csv,Supplementary Figure 2e,Regional quantile differences,"Process, regional contrast and percentile",Score units; percentile from 1 to 99,Original numerical precision,198,7,22874,3d175b1730848c9e41381040a72794422531869af61843e624d50e24c03bc0bc
supplementary/figures/FigureS2f.csv,Supplementary Figure 2f,Regional quantile differences,"Process, regional contrast and percentile",Score units; percentile from 1 to 99,Original numerical precision,198,7,22939,82064375238b30bd40a2ff2d53836d354f24cfcd6668a859643ec7563f2004b1
supplementary/figures/FigureS3a.csv,Supplementary Figure 3a,Individual-ping frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3320,11e9adc31de2c697e7cba1b14de28cca07bab3fec2c04993b58defb09be4a923
supplementary/figures/FigureS3b.csv,Supplementary Figure 3b,Individual-ping frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3304,f5eabd402c9181eeb4854d16bee2ea3fe62349823e18d792245f16c0a9421f53
supplementary/figures/FigureS3c.csv,Supplementary Figure 3c,Individual-ping frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3187,a33d8c306cb39645d91bd3de87258938a145c8ca86127bf0d82f4d9555002e12
supplementary/figures/FigureS3d.csv,Supplementary Figure 3d,Individual-ping frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3296,2ab578f916d9b0869da974fe196e3ea3bcf4b426645203c0d7b359c34c2e5793
supplementary/figures/FigureS3e.csv,Supplementary Figure 3e,Individual-ping frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3243,b816fa5fec330b2602532a5a969e13bf22aa668358babf97d7f58adb297c8d87
supplementary/figures/FigureS3f.csv,Supplementary Figure 3f,Individual-ping frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3221,a43ac8fd4a0894d481a117877130d96bd4a92f6faae2a7c2ba700488babc7cf6
supplementary/figures/FigureS3g.csv,Supplementary Figure 3g,Individual-ping frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3148,1237701d8fda917abe7dd94c8f06d2a3bac77d119f5b73854d4438b70c79d85b
supplementary/figures/FigureS3h.csv,Supplementary Figure 3h,Individual-ping frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3186,c6709b6a06f7a317b538ad3925627e59ec8ca77d90b338d3450f76217f5230b2
supplementary/figures/FigureS3i.csv,Supplementary Figure 3i,Individual-ping frequency across sampling tiers,Region and sampling tier,Pings per player per 10 min,Original numerical precision,21,11,3224,000163f2b26b2583d07d7444e9d3f07db2b0f2b7ed105c1b4479853eb3115b07
supplementary/figures/FigureS4a.csv,Supplementary Figure 4a,Minute-specific regional maintenance contrast,One-minute interval and regional contrast,Events per team per minute,Original numerical precision,10,16,3166,2833e7488f14300d7e59e53408d74231ac415430b1af40c2c6ae81739f574e30
supplementary/figures/FigureS4b.csv,Supplementary Figure 4b,Minute-specific regional maintenance contrast,One-minute interval and regional contrast,Events per team per minute,Original numerical precision,10,16,3117,5aaa512e61230b2f3264d7184366af2aa2576e9fd2a764f3f836343c8861365c
supplementary/figures/FigureS4c.csv,Supplementary Figure 4c,Minute-specific regional maintenance contrast,One-minute interval and regional contrast,Events per team per minute,Original numerical precision,10,16,3182,c4138077c364654f2fb7090d3d1dba10d92d40603684e0e64649dc6f8f137941
supplementary/figures/FigureS4d.csv,Supplementary Figure 4d,Minute-specific regional maintenance contrast,One-minute interval and regional contrast,Events per team per minute,Original numerical precision,10,16,3179,5ef0928c291818fd7f05369316d17796970afa2a2b00eddc170b6442eeaa16cb
supplementary/figures/FigureS4e.csv,Supplementary Figure 4e,Minute-specific regional maintenance contrast,One-minute interval and regional contrast,Events per team per minute,Original numerical precision,10,16,3124,e402c2742b3b9493576b52c93e1bf104c138d241fed1e0529bbcf43b6b428820
supplementary/figures/FigureS4f.csv,Supplementary Figure 4f,Minute-specific regional maintenance contrast,One-minute interval and regional contrast,Events per team per minute,Original numerical precision,10,16,3194,5d472712c3ab9cac572756313cf4c6d5fff7e7a507f23fb815338fe366ac3b13
supplementary/figures/FigureS4g.csv,Supplementary Figure 4g,Minute-specific regional maintenance contrast,One-minute interval and regional contrast,Events per team per minute,Original numerical precision,10,16,3444,fae2e31df7cf5b4398886642b6e42e846246378386fffd7b544cb17c1f767457
supplementary/figures/FigureS4h.csv,Supplementary Figure 4h,Minute-specific regional maintenance contrast,One-minute interval and regional contrast,Events per team per minute,Original numerical precision,10,16,3420,577b7dfa47b097b63e19e567ef4d93c233e99f91a29329cf06d1c553fcaff47b
supplementary/figures/FigureS4i.csv,Supplementary Figure 4i,Minute-specific regional maintenance contrast,One-minute interval and regional contrast,Events per team per minute,Original numerical precision,10,16,3443,522a3b57deecf013660e955b4c3e717c4bde5e2c42b891f7c9d7cd59684b889d
supplementary/figures/FigureS5a.csv,Supplementary Figure 5a,Early maintenance across tiers under common patch weights,Region and sampling tier,Frozen early-maintenance score units,Original numerical precision,21,10,4906,dbad0bc76c2f2b187a97b0f9ee647fa0610ce9d00f05f2825400b6a52c331f90
supplementary/figures/FigureS5b.csv,Supplementary Figure 5b,Next-objective associations within sampling tiers,Sampling tier,Log odds and odds ratio per common SD,Original numerical precision,7,16,2130,381d00331cebd5c20f45e116cddb69da2804d42e2e01269d398b3e26466fee1e
supplementary/figures/FigureS6a.csv,Supplementary Figure 6a,Spline minus linear adjusted probabilities,Region and maintenance-difference grid point,Percentage points,Original numerical precision,243,23,125523,3af9e44bce59cdae0607edc5e37d469a76dddeee7c04e91061a0503cbc256dfc
supplementary/figures/FigureS6b.csv,Supplementary Figure 6b,Mutually adjusted maintenance-component associations,Maintenance component,Log odds and odds ratio per component SD,Original numerical precision,3,16,1053,94ed4ed4e077da95c93c6af742dc99a8db4073a78b66beda3e7160d953898772
supplementary/figures/FigureS6c.csv,Supplementary Figure 6c,Sensitivity of next-objective association,Model or sample specification,Log odds and odds ratio per score SD,Original numerical precision,9,16,2530,3e3079b6aec46bfc6be4751cc882ac411145b70745495ed23b277b8f8842c6a8
supplementary/figures/FigureS7a.csv,Supplementary Figure 7a,Timeline coverage by region and sampling tier,Region and sampling tier,Matches; coverage percentage,Original numerical precision,21,10,1709,5d58a6bbf8b811cade38143b13627a098043b369ea3ff13f287a03d469b03565
supplementary/figures/FigureS7b.csv,Supplementary Figure 7b,Next-objective associations across patches,Game patch,Log odds and odds ratio per common SD,Original numerical precision,42,17,11865,96037f117a78e80955ab685b6d6a8378ed96ed5a588c2f38b8963c7ee0ee0e4e
supplementary/figures/FigureS7c.csv,Supplementary Figure 7c,Outcome sample size across patches,Game patch,Unique matches,Original numerical precision,42,2,490,69fa2929b29d4a25034972d71cc84bb9dc67c574c318331d4b1984a2813ae47f
main/tables/Table1.csv,Table 1,Table 1 Between-process comparisons of regional differences.,Published table row,As specified by the column headings and table note,Values at published display precision,3,5,412,fadbebc1efc30fdacb2f739740582900104c7843cd34845a847015c20620c3f8
supplementary/tables/TableS1.csv,Supplementary Table 1,Supplementary Table 1 Summary of indicator relationships,Published table row,As specified by the column headings and table note,Values at published display precision,11,6,680,5295a4786ea2e44ba41f37a527ca33f7ce9b3cf53168ab59473bb20a39ed1101
supplementary/tables/TableS2.csv,Supplementary Table 2,Supplementary Table 2 Comparisons of two indicator groupings,Published table row,As specified by the column headings and table note,Values at published display precision,2,6,201,988795bf0fc7305a28d650c0130db7722ae56dcb8720395204d84340a722651c
supplementary/tables/TableS3.csv,Supplementary Table 3,Supplementary Table 3 Grouping contrasts under alternative correlation specifications,Published table row,As specified by the column headings and table note,Values at published display precision,8,3,412,987a14ccd4df826c4acff751f6e9610fe25aa29d3b043815c9cfa331d6e49edd
supplementary/tables/TableS4a.csv,Supplementary Table 4a,Supplementary Table 4a Regional adjusted means,Published table row,As specified by the column headings and table note,Values at published display precision,3,4,351,bf8dc7d167ae0619c2ea683a95e27419fb3cc49721ab8205854337413c3685bd
supplementary/tables/TableS4b.csv,Supplementary Table 4b,Supplementary Table 4b Regional comparisons of overall and process scores,Published table row,As specified by the column headings and table note,Values at published display precision,9,5,926,dc0ee5d9787682112730485440285680d31c313742cfcc9c8c85f75ef68567ee
supplementary/tables/TableS4c.csv,Supplementary Table 4c,Supplementary Table 4c Direct comparisons of regional differences between processes,Published table row,As specified by the column headings and table note,Values at published display precision,3,5,387,bbca50081d7ddc8788b6b8d35298af9c1b0daa41b5c3cacfdc690343690de1e8
supplementary/tables/TableS5a.csv,Supplementary Table 5a,Supplementary Table 5a Alternative overall scoring and shared-match sensitivity analyses,Published table row,As specified by the column headings and table note,Values at published display precision,3,4,361,0880c6f6a74ad158988759f4d2f5fd4a68dee5fa9131e859009badbeb42f386b
supplementary/tables/TableS5b.csv,Supplementary Table 5b,Supplementary Table 5b Between-process comparisons with equal weights across nine pings,Published table row,As specified by the column headings and table note,Values at published display precision,3,5,393,a71bdef1a7a600ad8e1dbb53b5023d0a157eb9cc8105e11c3ef0001fbc740ee8
supplementary/tables/TableS6a.csv,Supplementary Table 6a,Supplementary Table 6a Regional adjusted means for individual pings,Published table row,As specified by the column headings and table note,Values at published display precision,9,4,865,5fb9889369fb13dd69a39beb9ae7c0ce2c94d32b2b481054384d2589406ee883
supplementary/tables/TableS6b.csv,Supplementary Table 6b,Supplementary Table 6b Regional comparisons of nine ping types,Published table row,As specified by the column headings and table note,Values at published display precision,27,5,2204,a145b4cbeb723522a91b1349bb7273dcee7b418f3294a65928c925d333bc96c4
supplementary/tables/TableS7.csv,Supplementary Table 7,Supplementary Table 7 Ping occurrence and conditional frequency,Published table row,As specified by the column headings and table note,Values at published display precision,27,5,2006,819b2eb4035abe4a72161aac0f9cc0163ac44a31a56a218d425bae11c14c2a11
supplementary/tables/TableS8a.csv,Supplementary Table 8a,Supplementary Table 8a Diamond–Iron differences in composite scores,Published table row,As specified by the column headings and table note,Values at published display precision,9,4,526,7a358812fc427db6c89a0e18e40e150a95737d043b4676fd94193a2aa256f518
supplementary/tables/TableS8b.csv,Supplementary Table 8b,Supplementary Table 8b Regional contrasts in composite-score endpoint differences,Published table row,As specified by the column headings and table note,Values at published display precision,9,4,627,b37bbb2028dfce94fc084d9f455a114ecf4e6de5a6e007e65bbe7cb647dc62bf
supplementary/tables/TableS8c.csv,Supplementary Table 8c,Supplementary Table 8c Overall information investment across all tiers,Published table row,As specified by the column headings and table note,Values at published display precision,21,3,831,e986a0aee395c7559f58d8e170f16a7c65ccdb75b5abe898085b3eef7c0e585c
supplementary/tables/TableS9a.csv,Supplementary Table 9a,Supplementary Table 9a Tier endpoint frequencies for three ping types,Published table row,As specified by the column headings and table note,Values at published display precision,9,4,558,9670857e3399f91cf88c65cdc695f190b566d364b3d21274dcbb452ea04b02ec
supplementary/tables/TableS9b.csv,Supplementary Table 9b,Supplementary Table 9b Regional contrasts in endpoint differences for three ping types,Published table row,As specified by the column headings and table note,Values at published display precision,9,4,534,74a7a7a1e4589405f60024b809ef6ad34452cacb34664e488404b4ff33ab9fd4
supplementary/tables/TableS9c.csv,Supplementary Table 9c,Supplementary Table 9c Tier endpoint differences for all nine ping types,Published table row,As specified by the column headings and table note,Values at published display precision,27,4,1650,7297491b4ad18cd0e101e9bfbd6a6cd9d97d6eaa036a71fe6ff7c0d079044de0
supplementary/tables/TableS9d.csv,Supplementary Table 9d,Supplementary Table 9d Regional contrasts in endpoint differences for all nine ping types,Published table row,As specified by the column headings and table note,Values at published display precision,27,4,1837,be196c16683192ababf758c3ae140f48a8f748dd2a09943bf7768d1531029f91
supplementary/tables/TableS10a.csv,Supplementary Table 10a,Supplementary Table 10a Local changes around Gold,Published table row,As specified by the column headings and table note,Values at published display precision,9,4,572,8e285fa905335d3c9dce9959c55a0dbf074d66e5c87f0d09c859966c7a3f30a4
supplementary/tables/TableS10b.csv,Supplementary Table 10b,Supplementary Table 10b All adjacent-tier comparisons of composite scores,Published table row,As specified by the column headings and table note,Values at published display precision,54,4,3672,128d2424270c96504ab82c1c71ab59aff83cbc4332517b06a3bf9b4371b9192a
supplementary/tables/TableS10c.csv,Supplementary Table 10c,Supplementary Table 10c All local changes in composite scores,Published table row,As specified by the column headings and table note,Values at published display precision,45,4,2813,3cd4f1b109ed1410bf89c41fe4051466a2c9c6a6a0d1428c72abe0c075639855
supplementary/tables/TableS10d.csv,Supplementary Table 10d,Supplementary Table 10d All adjacent-tier comparisons of individual pings,Published table row,As specified by the column headings and table note,Values at published display precision,162,4,9492,97eea8e04b7b92fe5f27e36c99eca061938bf106ea32be8ff16d842f6c086681
supplementary/tables/TableS10e.csv,Supplementary Table 10e,Supplementary Table 10e All local changes in individual pings,Published table row,As specified by the column headings and table note,Values at published display precision,135,4,7043,f98c0c2a482fb4848eddce195223df90d2df7b88733a35d4474e285c2961019a
supplementary/tables/TableS11a.csv,Supplementary Table 11a,Supplementary Table 11a Process scores across team positions,Published table row,As specified by the column headings and table note,Values at published display precision,10,4,1119,73bffd13920b600ceaed59866dabe5a71e0ca383c3d6a03077e5d6b67073e455
supplementary/tables/TableS11b.csv,Supplementary Table 11b,Supplementary Table 11b Regional comparisons of process scores within positions,Published table row,As specified by the column headings and table note,Values at published display precision,30,4,1833,e9cbbb7e546c6349b4d0939713f4d93fe5625e3e3db910edafd935f627e98240
supplementary/tables/TableS11c.csv,Supplementary Table 11c,Supplementary Table 11c Regional comparisons of overall information investment within positions,Published table row,As specified by the column headings and table note,Values at published display precision,15,4,741,9393f1829b600518f0fdd0e9d0f3cf1f45d309ec160658aa3d8711f3bc71b0ab
supplementary/tables/TableS12.csv,Supplementary Table 12,Supplementary Table 12 Regional differences in maintenance during the first 10 min,Published table row,As specified by the column headings and table note,Values at published display precision,3,4,215,780d78549c7c6f447b705ecdc480dc93454a4f0ba11d2a10542a180b83d92f03
supplementary/tables/TableS13a.csv,Supplementary Table 13a,Supplementary Table 13a Standardized regional means for minute-specific maintenance,Published table row,As specified by the column headings and table note,Values at published display precision,30,5,3109,438db09b34c75c4e1e29135c34590549381f7a7c78d5597241e7ecf0150dda8e
supplementary/tables/TableS13b.csv,Supplementary Table 13b,Supplementary Table 13b Minute-specific regional contrasts and simultaneous intervals,Published table row,As specified by the column headings and table note,Values at published display precision,90,6,7700,05ff7efd743433c5feb8075ce0bf0c6d45f1b6ea76dd8271965972df0fe8cc2f
supplementary/tables/TableS14.csv,Supplementary Table 14,Supplementary Table 14 Regional associations with subsequent objective acquisition under a common reference,Published table row,As specified by the column headings and table note,Values at published display precision,3,5,353,e6602cd79bb74908d2de5e6e7d43a2e79cea8f7c637d8eb27f389ebb986de705
supplementary/tables/TableS15a.csv,Supplementary Table 15a,Supplementary Table 15a Mutually adjusted associations of three maintenance components,Published table row,As specified by the column headings and table note,Values at published display precision,3,4,216,47f290fd6c5bb2816f195aff7bd1226878c3ac41cd5d0a134e7b19748f6b0841
supplementary/tables/TableS15b.csv,Supplementary Table 15b,Supplementary Table 15b Time-window and sample specifications,Published table row,As specified by the column headings and table note,Values at published display precision,15,4,1146,6bf32064020d3ebdfb7a317855a86f114ca355bb455d405f69dfe97ee83251c8
supplementary/tables/TableS15c.csv,Supplementary Table 15c,Supplementary Table 15c Individual and alternative combinations of maintenance components,Published table row,As specified by the column headings and table note,Values at published display precision,5,4,360,a4cb8ac8088c3914c212696d6f4bc1bedb3fcb75fb288d85d4d7993d53fc12af
supplementary/tables/TableS16a.csv,Supplementary Table 16a,Supplementary Table 16a Common-support and participant-disjoint samples for minute-specific analyses,Published table row,As specified by the column headings and table note,Values at published display precision,3,5,225,5b3b8afc69145086eb52f477e586652eb6ec29f831eae719035affda092a254b
supplementary/tables/TableS16b.csv,Supplementary Table 16b,Supplementary Table 16b Effect of purchase reversals on minute-specific frequencies,Published table row,As specified by the column headings and table note,Values at published display precision,10,4,1167,905078183728781f7ca28dae5267c283f7677d5667aba0de8ed0a32c259e6f87
supplementary/tables/TableS16c.csv,Supplementary Table 16c,Supplementary Table 16c Regional contrast directions in the participant-disjoint sample,Published table row,As specified by the column headings and table note,Values at published display precision,4,3,278,52f20ba5e30ea367f88d2ae596594296e418eb896eb0050ada3a97d4be9f7ad9
supplementary/tables/TableS17a.csv,Supplementary Table 17a,Supplementary Table 17a Early maintenance across tiers under a common patch distribution,Published table row,As specified by the column headings and table note,Values at published display precision,7,4,697,cbbd975a7ba6893439076675d0e3125cb39b9b37a188e3c197eb15020dd6f5e9
supplementary/tables/TableS17b.csv,Supplementary Table 17b,Supplementary Table 17b Early regional contrasts under a common patch distribution,Published table row,As specified by the column headings and table note,Values at published display precision,7,4,602,adcd4a5c3760f31c9ceff1e7117a74bf48f31a1de6ba5e9d26b07d118d713321
supplementary/tables/TableS17c.csv,Supplementary Table 17c,Supplementary Table 17c Subsequent-objective associations within tiers,Published table row,As specified by the column headings and table note,Values at published display precision,7,4,362,1c8573c04229faa75b2e8775e80c2245895c53d44856ceb2f87615bbc4a5018b
supplementary/tables/TableS17d.csv,Supplementary Table 17d,Supplementary Table 17d Region–tier sample sizes under the common patch distribution,Published table row,As specified by the column headings and table note,Values at published display precision,8,4,324,f6099fe126c52540e3de8c47c3b7e2f2f2f4cceb91fd1f9c89edc9963283fa75
supplementary/tables/TableS18a.csv,Supplementary Table 18a,Supplementary Table 18a Other subsequent binary outcomes,Published table row,As specified by the column headings and table note,Values at published display precision,1,4,88,367c3f600c375901e7f453006cec2d19b4e36032aa1300ceebb59da4958edafa
supplementary/tables/TableS18b.csv,Supplementary Table 18b,Supplementary Table 18b Other subsequent continuous outcomes,Published table row,As specified by the column headings and table note,Values at published display precision,5,4,446,a08656b016ff7d6f8a280c33b178b494c12f5f797738a0ae88126b9c98249039
supplementary/tables/TableS18c.csv,Supplementary Table 18c,Supplementary Table 18c Exploratory win associations among teams behind in gold,Published table row,As specified by the column headings and table note,Values at published display precision,3,4,208,b4f4247cae3c37c8693aa0b7eb03c46e0ce948192f747f7b7d5134904dcca45b
supplementary/tables/TableS19a.csv,Supplementary Table 19a,Supplementary Table 19a Holdout AUC and incremental discrimination,Published table row,As specified by the column headings and table note,Values at published display precision,6,6,646,b058bdd76a8dbdab429f89b64dba378cd496a93915fc37337c205c98890e7fef
supplementary/tables/TableS19b.csv,Supplementary Table 19b,Supplementary Table 19b Reduction in holdout probability losses,Published table row,As specified by the column headings and table note,Values at published display precision,6,3,578,e63d475621109232e43c0b64b7ccdacdabeb6ae4e6abbc259ebfefa85c05956a
supplementary/tables/TableS19c.csv,Supplementary Table 19c,Supplementary Table 19c Absolute holdout probability losses,Published table row,As specified by the column headings and table note,Values at published display precision,6,5,445,c0fa2dfbe4b8ead96a380b4bb692bc5d059a7f810689e1528e57b29b17b013ef
supplementary/tables/TableS20a.csv,Supplementary Table 20a,Supplementary Table 20a Timeline inclusion flow for the fixed match sample,Published table row,As specified by the column headings and table note,Values at published display precision,22,9,1802,634dea1e2dd87f7ab2a740ca9832f9307e35f9ee88a4190ff12fd759381c27e6
supplementary/tables/TableS20b.csv,Supplementary Table 20b,Supplementary Table 20b Subsequent-objective associations across patches,Published table row,As specified by the column headings and table note,Values at published display precision,42,5,2147,5b25cbbffb28bf2337658a326be3b9b8c1e26f3fe6b59ecbf4c54666f58a0d5e
supplementary/tables/TableS20c.csv,Supplementary Table 20c,Supplementary Table 20c Retention and composition of the participant-disjoint sample,Published table row,As specified by the column headings and table note,Values at published display precision,21,7,1367,341f7cc9e67732a8da85cefa7c88c77a9382380ed874f65b081d05ee840693fa
supplementary/tables/TableS20d.csv,Supplementary Table 20d,Supplementary Table 20d Subsequent-objective associations by match year,Published table row,As specified by the column headings and table note,Values at published display precision,3,4,175,c184e939fc13cb0729a3a01b36ea4235e22d1622efa0b9b3e98cc92053ed4b47
supplementary/tables/TableS20e.csv,Supplementary Table 20e,Supplementary Table 20e Reasons for unavailable primary objective outcomes,Published table row,As specified by the column headings and table note,Values at published display precision,22,6,755,8c53821abd1c0fd8740d835fb6dd0b1d3a3d516a5a8bd5004765c5da244b05b9
supplementary/tables/TableS20f.csv,Supplementary Table 20f,Supplementary Table 20f Valid windows and objective availability under different temporal definitions,Published table row,As specified by the column headings and table note,Values at published display precision,4,6,376,eb17d2e965b37c3341991ecc7b6de267baa4264d09b2a485c9defa3b01d92441
supplementary/tables/TableS20g.csv,Supplementary Table 20g,Supplementary Table 20g Actual match-date range in the valid timeline sample,Published table row,As specified by the column headings and table note,Values at published display precision,3,4,231,07d689662a64a9b97eecdc578d8586ee4c403f3cd9bd3b6838569d53262385f4
