file,column,definition,units,data_type,missing_values
main/figures/Figure1c_observed.csv,interpretation,Interpretation of the reported grouping diagnostic.,Text,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure1c_observed.csv,p_holm_primary_two_tests,Holm-adjusted P value across the two primary grouping tests.,P value,Scientific-notation decimal text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_density.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_density.csv,measure,"Process, overall score or individual indicator being summarized.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_density.csv,score,"Score coordinate, or named scoring rule in the alternative-weighting analysis.",Score units or category,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_density.csv,count,Number of observations in the displayed bin; player counts for densities and match counts for timeline support.,Count,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_density.csv,density,Kernel-density estimate of the score distribution.,Inverse score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_density.csv,bandwidth,Common kernel-density bandwidth.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_density.csv,bin_width,Width of the score histogram bin.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_means.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_means.csv,measure,"Process, overall score or individual indicator being summarized.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_means.csv,estimate,"Estimated mean, mean difference or coefficient described by the file and row labels.",File-specific,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_means.csv,ci_low,"Lower bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_means.csv,ci_high,"Upper bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_means.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_means.csv,n_records,Number of focal player–match records.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_means.csv,distribution_mean,Mean of the plotted player distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,measure,"Process, overall score or individual indicator being summarized.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,mean,Mean.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,sd,Standard deviation.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,min,Minimum.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q001,0.1th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q005,0.5th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q01,1th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q025,2.5th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q05,5th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q10,10th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q25,25th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,median,Median.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q75,75th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q90,90th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q95,95th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q975,97.5th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q99,99th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q995,99.5th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,q999,99.9th percentile of the regional score distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2a_quantiles.csv,max,Maximum.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2b.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2b.csv,measure,"Process, overall score or individual indicator being summarized.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2b.csv,estimate,"Estimated mean, mean difference or coefficient described by the file and row labels.",File-specific,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2b.csv,ci_low,"Lower bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2b.csv,ci_high,"Upper bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2b.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2b.csv,n_records,Number of focal player–match records.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2b.csv,distribution_mean,Mean of the plotted player distribution.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2c.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2c.csv,metric,"Behavioural indicator key; see variables.csv. In validation gains this instead identifies AUC, log loss or Brier score.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2c.csv,estimate,"Estimated mean, mean difference or coefficient described by the file and row labels.",File-specific,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2c.csv,ci_low,"Lower bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2c.csv,ci_high,"Upper bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2c.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2c.csv,n_records,Number of focal player–match records.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2c.csv,player_mean,Mean across player averages.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2c.csv,player_sd,Standard deviation across player averages.,Score units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,metric,"Behavioural indicator key; see variables.csv. In validation gains this instead identifies AUC, log loss or Brier score.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,prevalence,Fraction of valid player–match records containing at least one occurrence of the ping.,Fraction from 0 to 1,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,prevalence_ci_low,Lower player-cluster delta-method 95% bound for ping occurrence.,Fraction from 0 to 1,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,prevalence_ci_high,Upper player-cluster delta-method 95% bound for ping occurrence.,Fraction from 0 to 1,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,conditional_mean_per_10_min,Mean raw ping count per 10 min among records containing that ping.,Pings per player per 10 min,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,conditional_ci_low,Lower player-cluster delta-method 95% bound for the positive-record mean.,Pings per player per 10 min,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,conditional_ci_high,Upper player-cluster delta-method 95% bound for the positive-record mean.,Pings per player per 10 min,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,marginal_mean_per_10_min,"Mean raw ping frequency over all valid player–match records, including zeros.",Pings per player per 10 min,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,marginal_ci_low,Lower player-cluster delta-method 95% bound for the all-record mean.,Pings per player per 10 min,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,marginal_ci_high,Upper player-cluster delta-method 95% bound for the all-record mean.,Pings per player per 10 min,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,n_records,Number of focal player–match records.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,n_active_records,Player–match records with at least one occurrence of the specified ping.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure2de.csv,interval_method,Method used to calculate the uncertainty interval.,Text,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,context,Context defining rows: sampling tier or team position.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,level,Sampling-tier or team-position category; depends on context.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,measure,"Process, overall score or individual indicator being summarized.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,estimate,"Estimated mean, mean difference or coefficient described by the file and row labels.",File-specific,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,ci_low,"Lower bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,ci_high,"Upper bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,se,Standard error of the estimate; for logistic result tables this refers to the log-odds coefficient.,Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,n_records,Number of focal player–match records.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3a.csv,unit,Measurement unit of the estimate.,Text,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,context,Context defining rows: sampling tier or team position.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,level,Sampling-tier or team-position category; depends on context.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,measure,"Process, overall score or individual indicator being summarized.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,estimate,"Estimated mean, mean difference or coefficient described by the file and row labels.",File-specific,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,ci_low,"Lower bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,ci_high,"Upper bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,se,Standard error of the estimate; for logistic result tables this refers to the log-odds coefficient.,Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,n_records,Number of focal player–match records.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3b.csv,unit,Measurement unit of the estimate.,Text,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,context,Context defining rows: sampling tier or team position.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,level,Sampling-tier or team-position category; depends on context.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,measure,"Process, overall score or individual indicator being summarized.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,estimate,"Estimated mean, mean difference or coefficient described by the file and row labels.",File-specific,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,ci_low,"Lower bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,ci_high,"Upper bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,se,Standard error of the estimate; for logistic result tables this refers to the log-odds coefficient.,Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,n_records,Number of focal player–match records.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3c.csv,unit,Measurement unit of the estimate.,Text,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,context,Context defining rows: sampling tier or team position.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,level,Sampling-tier or team-position category; depends on context.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,measure,"Process, overall score or individual indicator being summarized.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,estimate,"Estimated mean, mean difference or coefficient described by the file and row labels.",File-specific,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,ci_low,"Lower bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,ci_high,"Upper bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,se,Standard error of the estimate; for logistic result tables this refers to the log-odds coefficient.,Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,n_records,Number of focal player–match records.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3d.csv,unit,Measurement unit of the estimate.,Text,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,context,Context defining rows: sampling tier or team position.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,level,Sampling-tier or team-position category; depends on context.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,measure,"Process, overall score or individual indicator being summarized.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,estimate,"Estimated mean, mean difference or coefficient described by the file and row labels.",File-specific,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,ci_low,"Lower bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,ci_high,"Upper bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,se,Standard error of the estimate; for logistic result tables this refers to the log-odds coefficient.,Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,n_records,Number of focal player–match records.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3e.csv,unit,Measurement unit of the estimate.,Text,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,context,Context defining rows: sampling tier or team position.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,level,Sampling-tier or team-position category; depends on context.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,measure,"Process, overall score or individual indicator being summarized.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,estimate,"Estimated mean, mean difference or coefficient described by the file and row labels.",File-specific,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,ci_low,"Lower bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,ci_high,"Upper bound of the pointwise 95% confidence interval for the estimate. In logistic result files this bounds beta, not the odds ratio.",Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,se,Standard error of the estimate; for logistic result tables this refers to the log-odds coefficient.,Estimate units,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,n_records,Number of focal player–match records.,Player–match records,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,n_players,Number of focal players contributing to the stated group or model.,Players,Number,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3f.csv,unit,Measurement unit of the estimate.,Text,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3g.csv,context,Context defining rows: sampling tier or team position.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3g.csv,region,"Region or original server code. NA/NA1 = North America, EUW/EUW1 = Western Europe, KR = Korea; All denotes pooled data.",Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
main/figures/Figure3g.csv,level,Sampling-tier or team-position category; depends on context.,Category,Text,Empty cell means unavailable or not applicable; NA is a region label.
